,SINR,RSRP,RSRQ,Power
290,-37.1088372,-117,-19,-117
291,16.9215244,-79,-6,-79
292,-39.0868129,-118,-20,-118
293,-41.0870107,-120,-20,-120
294,-17.0015797,-96,-20,-96
295,-38.0866742,-117,-19,-117
296,12.9215244,-83,-6,-83
297,-35.2148549,-118,-20,-118
298,-37.2153373,-120,-20,-120
299,-13.003967,-96,-20,-96
300,-34.2145165,-117,-19,-117
301,16.9378168,-81,-6,-81
302,-42.0867564,-123,-19,-123
303,-46.0869181,-127,-20,-127
304,-17.0012495,-98,-20,-98
305,-37.0861756,-118,-20,-118
306,16.9378168,-81,-6,-81
307,-42.0867564,-123,-19,-123
308,-46.0869181,-127,-20,-127
309,-17.0012495,-98,-20,-98
310,-37.0861756,-118,-20,-118
311,15.9378168,-82,-6,-82
312,-41.1089402,-123,-19,-123
313,-45.1091427,-127,-20,-127
314,-16.0015729,-98,-20,-98
315,-36.1082127,-118,-20,-118
316,8.9173417,-80,-7,-80
317,-28.5181858,-108,-7,-108
318,-9.010493,-89,-7,-89
319,-31.5212319,-111,-7,-111
320,-44.5241372,-124,-20,-124
321,300.0,-85,-6,-85
322,300.0,-84,-6,-84
323,300.0,-84,-6,-84
324,5.4367391,-82,-5,-82
325,-15.9841905,-97,-7,-97
326,-6.1485015,-88,-7,-88
327,-26.0816282,-107,-7,-107
328,6.8095745,-80,-6,-80
329,-30.8187617,-110,-8,-110
330,-7.0386675,-87,-7,-87
331,-21.7937165,-101,-8,-101
332,7.8095745,-79,-6,-79
333,-31.6625095,-110,-8,-110
334,-8.0307428,-87,-7,-87
335,-22.6418971,-101,-8,-101
336,5.8300623,-77,-6,-77
337,-23.9905897,-100,-7,-100
338,-6.0433158,-83,-7,-83
339,-23.9905897,-100,-7,-100
340,8.8300623,-74,-6,-74
341,-26.5246478,-100,-7,-100
342,-9.0217633,-83,-7,-83
343,-26.5246478,-100,-7,-100
344,5.8300623,-77,-6,-77
345,-23.9905897,-100,-7,-100
346,-6.0433158,-83,-7,-83
347,-23.9905897,-100,-7,-100
348,23.068106,-80,-6,-80
349,-38.0206899,-118,-20,-118
350,-24.0041361,-104,-20,-104
351,-31.0179408,-111,-20,-111
352,25.068106,-78,-6,-78
353,-40.0130659,-118,-20,-118
354,-26.0026101,-104,-20,-104
355,-33.0113285,-111,-20,-111
356,19.8500978,-77,-6,-77
357,-40.0442937,-117,-20,-117
358,-20.0015249,-97,-20,-97
359,-36.0436437,-113,-20,-113
360,14.8500978,-82,-6,-82
361,-35.1385519,-117,-20,-117
362,-15.0048204,-97,-20,-97
363,-31.1365403,-113,-20,-113
364,13.8500978,-83,-6,-83
365,-34.1737176,-117,-20,-117
366,-14.0060677,-97,-20,-97
367,-30.1712053,-113,-20,-113
368,24.1523712,-81,-6,-81
369,-30.012333,-111,-19,-111
370,-29.0112116,-110,-20,-110
371,-28.0097993,-109,-20,-109
372,26.1523712,-79,-6,-79
373,-32.0077857,-111,-19,-111
374,-31.0070774,-110,-20,-110
375,-30.0061855,-109,-20,-109
376,17.8692558,-83,-6,-83
377,-22.0433158,-105,-20,-105
378,-23.0488922,-106,-20,-106
379,-23.0488922,-106,-20,-106
380,-4.5945411,-89,-7,-89
381,-8.2881665,-92,-7,-92
382,-5.8940724,-90,-7,-90
383,-1.6088022,-87,-7,-87
384,0.9270414,-88,-5,-88
385,-7.9217605,-94,-7,-94
386,-10.1729856,-96,-7,-96
387,-5.4911991,-92,-7,-92
